Island, Vegetation type, Loss 1, Loss(2), Loss(3)
Arrecife Alacranes , Vegetation with coastal dunes , 39.65 , 62.97 , 100.00   
Banco Chinchorro ,    Vegetation with coastal dunes , 100.00 , 100.00 , 100.00   
Banco Chinchorro ,     Coastal tropical dry forest , 5.31 , 18.84 , 66.83   
Banco Chinchorro ,      Halophile vegetation , 7.46 , 18.96 , 48.20   
Carmen-Bahía de Loreto ,       Halophile vegetation , 31.33 , 37.36 , 44.55   
Carmen-Bahía de Loreto ,  Sarcocaulescent scrub with giant cactus , 10.50 , 18.23 , 31.68   
Carmen-Bahía de Loreto , Sarcocaulescent scrub with subinerm scrub , 0.60 , 1.22 ,  2.44   
Carmen-Bahía de Loreto , Sarcocaulescent scrub with subinerm scrub , 0.68 , 1.21 ,  2.17   
Cedros ,     Without apparent vegetation , 1.13 , 2.95 ,  7.68   
Cedros ,      Sarco-crasicaule scrub , 1.02 , 1.88 ,  3.48   
Cedros ,     Rosetophilous coastal scrub , 1.49 , 2.19 ,  3.23   
Cedros ,         Chaparral , 0.57 , 0.86 ,  1.31   
Clarión -Revillagigedo ,       Tropical grassland , 3.17 , 9.88 , 30.78   
Clarión -Revillagigedo ,        Tropical scrub , 2.91 , 5.00 ,  8.60   
Coronados-Bahía de Loreto ,    Xeric scrub/Halophile vegetation , 1.11 , 2.69 ,  6.49   
Cozumel ,    Vegetation with coastal dunes , 68.81 , 82.95 , 100.00   
Cozumel ,         Mangrove , 10.22 , 28.84 , 81.40   
Cozumel ,    Vegetation with coastal dunes , 3.33 , 13.45 , 54.32   
Cozumel ,      Semi-evergreen forest , 0.12 , 0.69 ,  3.89   
Danzante-Bahía de Loreto ,    Xeric scrub/Halophile vegetation , 2.22 , 4.36 ,  8.55   
Espiritu Santo ,       Halophile vegetation , 6.22 , 20.68 , 68.70   
Espiritu Santo ,    Vegetation with coastal dunes , 16.28 , 21.84 , 29.31   
Espiritu Santo ,  Sarcocaulescent scrub with giant cactus , 3.03 , 9.12 , 27.47   
Espiritu Santo , Sarcocaulescent scrub with subinerm scrub , 1.30 , 3.96 , 12.07   
Guadalupe ,     Natural palm-tree forest , 2.96 , 5.10 ,  8.80    
Guadalupe ,      Coastal succulent scrub , 1.97 , 3.41 ,  5.91   
Guadalupe ,         Xeric scrub , 0.80 , 1.59 ,  3.17   
Isabel ,         Bare ground , 100.00 , 100.00 , 100.00   
Isabel ,     Tropical deciduous forest , 13.02 , 24.10 , 44.61   
Isla del Carmen ,         Mangrove , 54.98 , 73.53 , 98.35   
Larga-Islas Marietas ,         Grassland , 21.11 , 31.55 , 47.16   
María Cleofas , Tropical and subtropical deciduous forest , 1.25 , 2.67 ,  5.68   
María Madre-Islas Marías , Tropical and subtropical deciduous forest , 0.44 , 0.93 ,  1.95   
María Magdalena-Islas Marías , Tropical and subtropical deciduous forest , 0.99 , 2.00 ,  4.033   
Monserrat-Bahía de Loreto ,   Xeric scrub/Halophile vegetation , 0.75 , 1.58 ,  3.32   
Mujeres ,      Semi-deciduous forest , 5.17 , 10.43 , 21.04   
Redonda-Islas Marietas , Grassland , 4.47 , 9.37 , 19.64   
San Benedicto-Revillagigedo ,      Bare ground , 2.59 , 4.54 ,  7.94   
San Benito ,     Matorral rosetófilo costero , 3.47 , 9.30 , 24.92   
San Juanico-Islas ,      Marías Deciduous forest , 1.91 , 47.83 , 80.35   
Santa Catalina-Bahía de Loreto ,    Xeric scrub/Halophile vegetation , 0.64 , 1.29 ,  2.63   
Socorro-Revillagigedo ,         Bare ground , 8.66 , 16.83 , 32.72   
Socorro-Revillagigedo ,        Conifer forest , 5.10 , 7.85 , 12.07   
Socorro-Revillagigedo ,        Tropical scrub , 0.56 , 1.10 ,  2.13   
Socorro-Revillagigedo ,       Tropical grassland , 0.60 , 1.09 ,  2.00   
Socorro-Revillagigedo ,  Tropical deciduous latifolius forest , 0.44 , 0.81 ,  1.52   
Socorro-Revillagigedo ,  Tropical evergreen latifolius forest , 0.27 , 0.46 ,  0.76   
Socorro-Revillagigedo ,     Deciduous latifolius forest , 0.00 , 0.00 ,  0.00   
Tiburón ,         Xeric scrub , 0.83 , 1.46 ,  2.58   
